// This is a commentary line. Everything after // is ignored.
// Pattern:
//     first two numbers are x and y coordinates

// 1st column
24 25
24 80
24 105
24 127
24 310
24 330
24 400
24 421
24 442

// 2nd column
50 25
50 80
50 127
50 310
50 352
50 376
50 400
50 442

// 3rd column
76 25
76 80
76 127
76 310
76 400
76 442

// 4th column
100 25
100 50
100 80
100 105
100 127
100 152
100 175
100 196
100 219
100 242
100 265
100 286
100 310
100 330
100 352
100 376
100 400
100 442

// 5th column
125 25
125 80
125 310
125 352
125 442

// 6th column
150 25
150 80
150 105
150 127
150 310
150 352
150 376
150 400
150 442

// 7th column
169 25
169 80
169 127
169 310
169 352
169 400
169 442

// 8th column
193 25
193 50
193 80
193 127
193 310
193 330
193 352
193 400
193 421
193 442

// 9th column
218 80
218 442

// 10th column
243 25
243 50
243 80
243 127
243 310
243 330
243 352
243 400
243 421
243 442

// 11th column
267 25
267 80
267 127
267 310
267 352
267 400
267 442

// 12th column
286 25
286 80
286 105
286 127
286 310
286 352
286 376
286 400
286 442

// 13th column
311 25
311 80
311 310
311 352
311 442

// 14th column
336 25
336 50
336 80
336 105
336 127
336 152
336 175
336 196
336 219
336 242
336 265
336 286
336 310
336 330
336 352
336 376
336 400
336 442

// 15th column
360 25
360 80
360 127
360 310
360 400
360 442

// 16th column
386 25
386 80
386 127
386 310
386 352
386 376
386 400
386 442

// 17th column
412 25
412 80
412 105
412 127
412 310
412 330
412 400
412 421
412 442
